id,source,company,title,location,job_type,job_mid,job_code,experience,exp_min,education,keyword,posting_date,expiration_date,url,자격요건원문,우대사항원문,collected_at,신입가능,학력요건,졸업예정가능,요구스킬,고용형태
alio-304854,잡알리오,게임물관리위원회,게임물관리위원회 2026년 제3차 직원(체험형청년인턴) 채용공고,"서울,부산",청년인턴(체험형),"사업관리,경영.회계.사무,문화.예술.디자인.방송",,신입+경력,0,학력무관,"ㅇ가점사항
- 장애대상: 전형별 가점 5%
- 지역인재: 전형별 가점 5%",2026-09-10,2026-09-29,https://www.grac.or.kr/Board/Employ.aspx?searchtype=001&type=view&bno=819&searchtext=,"?「청년고용촉진 특별법 시행령」에 따른 만 15세 이상 만 34세 이하인 자
? 성별, 지역, 학력 제한 없음
? 최종합격 후 바로 근무가 가능한 자
? 부산광역시에서 근무가 가능한 자
? 위원회 인사규정 제16조(임용결격사유 등)에 의한 결격사유가 없는 자
?「국가공무원법」제33조에 의한 결격사유가 없는 자
? 남성의 경우 병역을 필하였거나 면제된 자
? 해외여행에 결격사유가 없는 자
? 타 기관·단체에서 징계에 의하여 면직되지 않은 자","장애대상, 지역인재",2026-09-11,Y,학력무관,Y,,청년인턴(체험형)
alio-304848,잡알리오,한국장애인개발원,[제2026-103호] 2026년도 제5차 서울시장애아동·발달장애인지원센터(장애아동지원팀) 체험형 청년인턴(장애인 제한경쟁) 채용 공고,서울,청년인턴(체험형),"사업관리,사회복지.종교",,신입+경력,0,학력무관,"<가점사항>
○ 취업지원대상자: 「국가유공자 등 예우 및 지원에관한 법률」 등에 따른 취업지원대상자
○ 장애인: 「장애인복지법」에 따른 장애인
○ 지역인재: 「지방대학 및 지역균형인재 육성에 관한 법률」에 따른 지방대학 학생 또는 졸업자
○ 경력단절여성: 「여성의 경제활동 촉진과 경력단절 예방법」에 따른 임신·출산·육아 등의 이유로 경력이 단절된 여",2026-09-11,2026-09-28,https://koddicpdd.fairyhr.com,"○ 우리 원 「인사관리규정」 상 결격사유에 해당하지 않는 자
○ 임용예정일(‘26. 10. 26)부터 근무 가능한 자
○ 해당 직무를 수행할 수 있는 자
○ 아래 자격요건(①~③)을 모두 충족하는 자
① ?청년고용촉진특별법?상 청년에 해당하는 자 (임용일 기준 만 34세 이하)
② ?장애인복지법?에 따른 장애인
③ 우리 원 청년인턴 경험이 없는 자","한글, 엑셀 등 오피스 활용 가능한 자",2026-09-11,Y,학력무관,Y,엑셀,청년인턴(체험형)
alio-304845,잡알리오,(재)우체국시설관리단,(재)우체국시설관리단 (본사)청년인턴 채용 공고,서울,"청년인턴(체험형),청년인턴(채용형)","경영.회계.사무,영업판매",,신입,0,학력무관,"ㅇ 가점적용 기준
 1) 장애인 : 서류심사에서 만점의 5% 가산점 부여
 2) 저소득층 : 서류심사에서 만점의 3% 가산점 부여
 3) 지역인재 : 서류심사에서 만점의 3% 가산점 부여
 4) 북한이탈주민 : 서류심사에서 만점의 3% 가산점 부여
 5) 다문화가족 구성원 : 서류심사에서 만점의 3% 가산점 부여
 6) 경력단절 여성 : 서류심사",2026-09-10,2026-09-28,https://poma.hrdms.kr,"1. 청년인턴(채용형-일반행정) 1명
  o 담당업무 : 일반행정
  o 자격요건 : 학력, 경력제한 없음
    (채용공고일 기준 만 18세 이상, 만 34세 이하인 자)
  o 계약기간 : 임용 후 3개월(계약직) 근무 -> 평가 후 일반직(6급) 전환여부 결정

2. 청년인턴(채용형-부동산) 1명
  o 담당업무 : 부동산 및 일반행정
  o 자격요건 : 학력, 경력제한 없음
    (채용공고일 기준 만 18세 이상, 만 34세 이하인 자)
  o 계약기간 : 임용 후 3개월(계약직) 근무 -> 평가 후 일반직(6급) 전환여부 결정

3. 청년인턴(체험형-고졸) 1명
  o 담당업무 : 일반행정
  o 자격요건 : 최종학력 고등학교 졸업자(경력제한 없음)
     - 채용공고일 기준 만 18세 이상, 만 34세 이하인 자)
    - 대학교(전문대학 포함)의 중퇴자 및 재학·휴학자는 지원 가능 하나, 졸업자는 지원이 불가하며, 졸업예정자, 유예자, 마지막 학기 수료자 등 지원 불가
  o 계약기간 : 임용 후 3개월 근무 후 종료

4. 청년인턴(체험형-장애인) 1명
  o 담당업무 : 일반행정
  o 자격요건 : 장애인(학력, 경력제한 없음)
     - 채용공고일 기준 만 18세 이상, 만 34세 이하인 자)
     - 장애인고용촉진 및 직업재활법 시행령 제3조에 해당하는 장애인)
  o 계약기간 : 임용 후 3개월 근무 후 종료","장애인, 저소득층, 지역인재, 북한 이탈주민, 다문화가족 구성원, 경력단절 여성, 한부모가족(채용 시 가산점수가 둘 이상인 자는 그 중 본인에게 유리한 것 하나만 적용, 체험형인턴(장애인)의 경우 장애인 가점 미적용)",2026-09-11,Y,학력무관,Y,,"청년인턴(체험형),청년인턴(채용형)"
alio-304835,잡알리오,한전MCS(주),한전MCS 2026년 하반기 시니어계약직 신규채용[2차] 공고,"서울,대구,인천,대전,세종,경기,충남,전북,전남광주,경북,제주",비정규직,전기.전자,,신입,0,학력무관,"○ 장애인
- 「장애인고용촉진 및 직업재활법」제2조에 의한 장애인(서류전형·면접전형 만점의 10% 가점 부여)
※ 채용공고 마감일 기준으로 장애인 증명서 보유자

○ 취업지원대상자(국가보훈대상자)
- 「국가유공자 등 예우 및 지원에 관한 법률」제29조
- 「독립유공자예우에 관한 법률」제16조
- 「보훈보상대상자 지원에 관한 법률」제33조
- ",2026-09-10,2026-09-17,https://recruit.incruit.com/kepcomcs,"□ 공통자격
- 연령 : 만 60세 이상(공고 마감일 기준)
- 학력/성별 : 제한없음
- 한전MCS 채용 결격사유에 해당하지 않는 자(붙임5 참고)
- 병역법 제76조에서 정한 병역의무 불이행 사실이 없는 자
※ 남성의 경우, 병역필 또는 병역 면제자(공고 마감일 기준)
- 회사가 정한 입사일부터 즉시 근무가 가능한 자
- 운전 가능자(운전면허 소지자)
- 업무 특성 상 자가용 또는 이륜차 운행 필수

□ 필수자격(안전감시전담원)
- 다음의 지원자격 ① 또는 ②에 해당하며, ③의 요건을 충족하는 자
① 전기분야 기능사 이상 자격 보유자
- 기사·산업기사 : 전기, 전기공사
- 기능사 : 전기
② 전기계량기 검침 또는 단전 업무 7년 이상 수행한 자
③ 안전보건공단에서 진행하는 관리감독자 교육 '관리감독자가 알아야 할 안전보건활동Ⅰ(8시간)·Ⅱ(4시간/건설업) 교육이수자 [https://edu.kosha.or.kr]
(수료일 기준 : 2025. 08. 01. ~ 2026. 09. 17. 이내 이수자)","장애인, 취업지원대상자, 경력단절여성, 한전MCS 근무경력자",2026-09-11,Y,학력무관,Y,,비정규직
alio-304810,잡알리오,한국가스안전공사,2026년 하반기 한국가스안전공사 정규직(채용형인턴) 채용 공고,"서울,부산,대구,인천,대전,울산,세종,경기,강원,충북,충남,전북,전남광주,경북,제주","정규직,청년인턴(채용형)","사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,기계,재료,화학,전기.전자,환경.에너지.안전,연구",,신입,0,"학력무관,고졸,석사","ㅇ 전형단계별 우대사항 참고

*세부내용은 공고문 및 첨부파일 참조",2026-09-09,2026-09-28,https://kgs.saramin.co.kr/,"응시자격
ㅇ 공통 응모자격과 지원직무의 응모자격을 모두 충족하여야 함

[공통 응모자격]
- 입사예정일 기준 만 58세 미만인 자(임금피크제 적용 전)
- 공사 인사규정 제20조의 결격사유에 해당하지 않는 자
- 병역 대상자로서 병역기피 사실이 없는 자
- 현역 군인의 경우 입사 예정일 이전에 전역이 가능한 자
- 입사 예정일부터 즉시 교육입소 및 근무 가능한 자

[직무별 응모자격]
- 공고문 참조

*세부내용은 공고문 및 첨부파일 참조","전형단계별 우대사항 참고 (취업지원대상자, 장애, 저소득층, 한부모가정, 북한이탈주민, 다문화가족, 자립준비청년, 의사자 유족 및 의상자, 의상자 가족, 청년인재, 비수도권인재, 지역인재)",2026-09-11,Y,"학력무관,고졸,석사",Y,,"정규직,청년인턴(채용형)"
alio-304793,잡알리오,국가생명윤리정책원,제2026-3차 직원 채용 공고 ,서울,"정규직,비정규직","사업관리,경영.회계.사무,교육.자연.사회과학,보건.의료,정보통신,연구",,신입+경력,0,"학력무관,중졸이하,고졸,대졸(2~3년),대졸(4년),석사,박사","ㅇ 취업지원대상자: 서류전형, 면접전형 별 관련 법령에 따름
ㅇ 장애인 및 취업보호대상자: 서류전형시 가산점 5%
ㅇ 저소득층: 서류전형시 가산점 3%
ㅇ 한부모가족: 서류전형시 가산점 3%
ㅇ 북한이탈주민: 서류전형시 가산점 3%
ㅇ 다문화가족: 서류전형시 가산점 3%
ㅇ 자립지원청년: 서류전형시 가산점 3%
ㅇ 체험형 청년인턴 수료자 및 우",2026-09-09,2026-09-23,https://recruit.incruit.com/nibp/,"ㅇ 연구직(정규직) 5급(A07)
- 생명윤리 관련분야 석사학위 소지자 또는 학사학위 취득 전·후 2년 이상 업무 경력자
※ 생명윤리 관련분야 : 생명윤리, 법학, 의학, 간호학, 약학, 윤리학, 생명과학/생명공학, 사회복지학 및 유사 분야, 유전자 검사 분야
ㅇ 행정직(정규직) 5급(A08)
- 채용 예정 직무 경력 1년 이상 경력자
ㅇ 전산직(정규직) 5급(A09)
- 채용 예정 직무 경력 1년 이상 경력자
ㅇ 행정직(계약직) 5급(B10)
- 채용 예정 직무 경력 1년 이상 경력자
ㅇ 행정직(계약직) 5급(B11)
- 채용 예정 직무 경력 1년 이상 경력자
ㅇ 전산직(계약직) 5급(B12)
- 채용 예정 직무 경력 1년 이상 경력자","취업지원대상자, 장애인 및 취업보호대상자, 저소득층, 한부모가족, 북한이탈주민, 다문화가족, 자립지원청년, 체험형 청년인턴 수료자 및 우수인턴 선발자",2026-09-11,Y,"학력무관,중졸이하,고졸,대졸(2~3년),대졸(4년),석사,박사",Y,,"정규직,비정규직"
alio-304781,잡알리오,대한적십자사,[대한적십자사 서울지사] 서부봉사관 사무보조원(육아휴직 대체인력) 채용공,서울,비정규직,경영.회계.사무,,신입,0,학력무관,"<서류심사 가산점 반영요소(자기개발실적)>
1. 정보사무자격증 *자격증 사본 제출
- 컴퓨터활용능력 1급 또는 2급, 워드프로세서 1급(2012년 이후는 워드프로세서), 정보처리기사, 정보처리산업기사, 사무자동화산업기사 중
1개 자격증 소지자
2. 운전면허증(1종 보통·대형 또는 2종 보통) *운전면허증 제출
3. 사회봉사활동 경험 *봉사활동확인서",2026-09-09,2026-09-27,https://www.redcross.or.kr/redrecruit/sharing.do?reNo=14597&seqNo=1,"<공통자격>
- 임용(예정)일(2026.10.14.)부터 근무 가능한 자
- 병역법 제76조의 병역의무 불이행자에 해당하지 않는 자
- 대한적십자사 직원운영규정 제56조(정년)에 해당하지 않는 자 (임용일 기준 만60세 미만)
- 대한적십자사 직원운영규정 제20조(결격사유)에 해당하지 않는 자","취업지원대상자, 장애인, 북한이탈주민",2026-09-11,Y,학력무관,Y,"정보처리기사, 컴퓨터활용능력",비정규직
alio-304772,잡알리오,(재)한국우편사업진흥원,한국우편사업진흥원 기간제 근로자 채용,서울,비정규직,인쇄.목재.가구.공예,,신입,0,학력무관,"·채용관련 분야(수행업무)에 경력이 있는 자(민간 경력 포함)로 아래 사항을 한 가지 이상 충족하는 자
  ① 우표 부가상품 제작 경력을 가진 자
  ② 날짜 소인기 작업 경력을 가진 자
  ③ ①,② 준하는 경력을 보유한 자
  * 경력 충족 여부는 서류심사 시 시험위원이 판단하여 결정",2026-09-08,2026-09-22,https://www.albamon.com/jobs/detail/119069727?searchRow=3&searchKeyword=%ED%95%9C%EA%B5%AD%EC%9A%B0%ED%8E%B8%EC%82%AC%EC%97%85%EC%A7%84%ED%9D%A5%EC%9B%90&productCount=1&logpath=1&sc=508,"·학력, 전공, 학점, 성별, 어학성적 등 제한 없음

·진흥원 인사규정 제15조(결격사유)에 해당하지 않는 자

·임용일(‘26. 10. 7.) 기준, 「근로기준법」 제64조(최저 연령과 취직인허증)에 해당하지 않는 자

·「병역법」 제76조에서 정한 병역의무 불이행 사실이 없는 자","장애인, 국가유공자, 저소득층 등 관련 법률에 따른 대상자 우대",2026-09-11,Y,학력무관,Y,,비정규직
alio-304768,잡알리오,한국전력공사,2026년도 제4차 전문직원 채용공고,"서울,대전,전남광주",정규직,"경영.회계.사무,법률.경찰.소방.교도.국방,연구",,신입+경력,0,"학력무관,석사,박사","1. 취업지원대상자 : 동점자 처리시 우대
2. 분야별 우대자격
○ 전력설비영상진단 기술개발담당
 ① 영상분석 솔루션의 PoC부터 상용화까지 전주기 수행 경험
 ② 컴퓨터비전분야 연구과제 책임자급 경력 5년 이상인 자
 ③ 컴퓨터비전분야 기술 SCI급 논문 2건 이상 또는 특허출원 5건 이상
○ 국제계약담당
 ① 해외변호사 업무경력(3년 이상)",2026-09-08,2026-09-22,http://recruit.kepco.co.kr,"1. 공통사항
○ 연 령 : 제한 없음
※ 단, 합격예정자의 연령이 공사의 정년(60세)을 경과한 경우 계약기간은 1년 단위로 함
○ 병역사항 : 병역법 제 76조에서 정한 병역의무 불이행 사실이 없는 자
○ 기타사항
  - 당사 인사관리규정 제11조의 결격사유가 없는 자
  - 최종 합격자 발표 후 3개월 이내 입사 가능한 자

2. 분야별 응시자격
○ 전력설비영상진단 기술개발담당
 ① 관련학과 석사학위 이상 소지자 또는 컴퓨터비전분야 박사 학위 소지자
 ② 컴퓨터비전분야 실무경력 보유자
   - 관련학과 석사학위 이상 소지자 : 컴퓨터비전분야 실무경력 4년 이상
   - 컴퓨터비전분야 박사 학위 소지자 : 컴퓨터비전분야 실무경력 2년 이상
○ 국제계약담당
 ① 로스쿨 졸업자
 ② 영미권 변호사 자격증 소지자
○ 국제재무담당
 ① KICPA, AICPA, 세무사 중 1개 이상 자격증 보유자
 ② 회계법인 또는 상장사 회계업무 실무경력 2년 이상
  ※ KICPA의 경우 필수 경력 조건 적용 제외

※ 자세한 사항은 붙임의 채용공고문 참조","취업지원대상자, 지원자격 우대사항 해당자 ※ 자세한 사항은 첨부파일의 공고문 참조",2026-09-11,Y,"학력무관,석사,박사",Y,AI,정규직
alio-304766,잡알리오,서울대학교병원,서울대학교병원 블라인드 직원채용 (대체근로자) 공고 (장애인 특별우대),서울,비정규직,보건.의료,,신입,0,"학력무관,중졸이하,고졸,대졸(2~3년),대졸(4년),석사","▷취업지원대상자, 장애인 등은 관련 법령이 정하는 바에 따라 우대함
▷취업지원대상자, 장애인 등 채용특례 기준에 해당하는 자는 서류전형 등에서 가점을 부여하며, 병원 기준에 의거 일정 인원 우선 선발될 수 있음 (단, 채용분야 직무수행에 지장이 없는 자에 한함)",2026-09-08,2026-09-22,https://recruit.snuh.org/joining/recruit/view.do?notice_type=E&recruit_id=26117,"▷2026.10.19. 기준 정년퇴직 기준연령(만 60세)에 도달한 자는 지원할 수 없음
▷남자는 병역필 또는 면제자에 한함(단, 2026.10.19.이전 전역예정자 가능)
▷지원자격 중 자격사항은 서류접수 마감일을 기준으로 함
▷입사지원 시 반드시 하나의 직종·직무를 선택하여야 함","취업지원대상자, 장애인",2026-09-11,Y,"학력무관,중졸이하,고졸,대졸(2~3년),대졸(4년),석사",Y,,비정규직
